,Governor Demand (Design),Steam Flow (Design),Throttle Pressure,Main Steam Temperature,First Stage Pressure (Design),Generator MWG
0,0.0,501.5748291,0.038037546,869.2716675,0.0,0.000896593
1,0.0,499.2260132,0.038037546,867.2376709,0.0,0.000711023
2,0.0,499.2772827,0.038037546,867.2376709,0.0,0.000711023
3,0.0,500.1846008,0.038037546,865.1758423,0.0,0.000711023
4,0.0,496.6238708,0.038037546,865.1758423,0.0,0.000711023
5,0.0,498.5891418,0.038037546,863.1697388,0.0,0.000711023
6,0.0,502.7459412,1.630752921,863.1697388,0.0,0.000711023
7,0.0,500.4648743,4.82087183,863.1697388,0.0,0.000711023
8,0.0,502.2889709,5.836830139,863.1697388,0.0,0.000711023
9,0.0,499.7832031,6.879973412,863.1697388,0.0,0.000711023
10,0.0,500.0636902,7.393443108,863.1697388,0.0,0.000711023
11,0.0,500.743042,7.393443108,863.1697388,0.0,0.000711023
12,0.0,498.3969421,7.926578999,863.1697388,0.0,0.000711023
13,0.0,500.5327759,8.433162689,863.1697388,0.0,0.000711023
14,0.0,499.2595825,8.433162689,863.1697388,0.0,0.000711023
15,0.0,500.5498352,8.950861931,863.1697388,0.0,0.000711023
16,0.0,499.5137634,9.498596191,863.1697388,0.0,0.000711023
17,0.0,501.1347961,14.42851925,861.1636353,0.0,0.000711023
18,0.0,498.847229,84.42651367,867.5441895,0.0,0.000711023
19,0.0,500.8822021,106.0501633,869.5561523,0.0,0.000711023
20,0.0,499.7911682,120.9384003,869.5561523,0.0,0.000711023
21,0.0,500.2511292,133.2389374,869.5561523,0.0,0.000711023
22,0.0,500.0214844,146.2378082,869.5561523,0.0,0.000711023
23,0.0,498.8764343,158.6265411,871.5622559,0.0,0.000711023
24,0.0,475.8172607,171.1503296,871.5622559,0.0,0.000711023
25,0.0,470.2236023,183.5567322,871.5622559,0.0,0.000711023
26,0.0,467.3746643,196.7409821,871.5622559,0.0,0.000711023
27,0.0,467.4072266,209.4064178,871.5622559,0.0,0.000711023
28,0.0,469.4814758,222.1803894,871.5622559,0.0,0.000711023
