,Governor Demand,Throttle Pressure,Main Steam Temp,Inlet Density,First Stage Pressure,Steam Flow Target,Px/Pi
0,0,564.04387965751,805.7900669064375,0.7829511347504645,0.3643224212159164,468.6472817227213,0.0006459114873068644
1,1,578.2504400842964,805.4897192641595,0.8038766918971489,3.018591464666062,468.32730006111535,0.005220214729496819
2,2,592.4570005110828,805.1893716218817,0.8248689286291668,5.672860508116208,468.0073183995094,0.009575143011598338
3,3,606.6635609378691,804.8890239796038,0.8459284624104646,8.327129551566353,467.6873367379035,0.013726107990882228
4,4,620.8701213646555,804.5886763373259,0.8670559193898144,10.981398595016499,467.36735507629754,0.01768711074528709
5,5,635.0766817914418,804.288328695048,0.8882519345395803,13.635667638466645,467.0473734146916,0.021470899545552164
6,6,649.2832422182281,803.9879810527701,0.9095171517973593,16.28993668191679,466.72739175308567,0.02508910691467013
7,7,663.4898026450145,803.6876334104921,0.930852224210584,18.944205725366935,466.40741009147973,0.028552369079141087
8,8,677.6963630718008,803.3872857682143,0.952257814084194,21.59847476881708,466.0874284298738,0.03187043039587444
9,9,691.9029234985871,803.0869381259365,0.9737345931314584,24.252743812267227,465.76744676826786,0.03505223491416098
10,10,706.1094839253735,802.7865904836585,0.9952832426280632,26.907012855717372,465.4474651066619,0.038106006884565634
11,11,720.3160443521599,802.4862428413807,1.0169044535695637,29.56128189916752,465.127483445056,0.041039321740715125
12,12,734.5226047789462,802.1858951991028,1.0385989268323137,32.21555094261766,464.80750178345005,0.04385916884384096
13,13,748.7291652057326,801.8855475568248,1.0603673733379786,34.86981998606781,464.4875201218441,0.04657200708414562
14,14,762.9357256325189,801.5851999145469,1.0822105142217653,37.52408902951795,464.1675384602382,0.04918381427007925
15,15,777.1422860593053,801.2848522722691,1.1041290810044724,40.178358072968095,463.84755679863224,0.05170013110044819
16,16,791.3488464860917,800.9845046299912,1.1261238157685014,42.832627116418244,463.5275751370263,0.054126100400111024
17,17,805.5554069128781,800.6841569877133,1.1481954713379576,45.48689615986839,463.20759347542037,0.056466502203972986
18,18,819.7619673396644,800.3838093454355,1.1703448114629713,48.141165203318536,462.8876118138145,0.05872578519292477
19,19,833.9685277664507,800.0834617031575,1.1925726110083918,50.79543424676868,462.5676301522085,0.06090809491673494
20,20,848.175088193237,799.7831140608796,1.214879656146986,53.44970329021883,462.24764849060256,0.0630172991806163
21,21,862.3816486200233,799.4827664186017,1.2372667445573142,56.10397233366897,461.9276668289966,0.06505701092253775
22,22,876.5882090468097,799.1824187763237,1.2597346856264182,58.75824137711911,461.6076851673907,0.06703060886594864
23,23,890.794769473596,798.882071134046,1.2822843006575053,61.41251042056926,461.2877035057848,0.06894125619626192
24,24,905.0013299003824,798.5817234917681,1.3049164230827843,64.0667794640194,460.9677218441788,0.07079191747825556
25,25,919.2078903271688,798.2813758494901,1.3276318986816338,66.72104850746956,460.6477401825729,0.07258537400470082
26,26,1408.37863084721,839.6434708144579,2.0330927258986695,224.28387600904034,634.0338093637135,0.15924970110780678
27,27,2504.6153521223614,904.3509492990335,3.667119516392028,538.1713409070694,1023.2687711623436,0.2148718526583468
28,28,3315.395954695774,941.7593471839025,4.91346910060813,783.6261615696147,1420.8134375834304,0.23635975077417912
29,29,3497.7778130121155,975.9594479862342,4.994311396547968,900.5218933599843,1659.682112727673,0.2574554307051593
